description,phoneName,price
"Nokia 5.3 - 6GB/64GB Memory, 6.55"" HD, Dual SIM, 13MP/2MP/5MP/2MP Camera,  4000maH Battery, 4G - Charcoal",Nokia,"₦ 66,220"
"Gionee S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Black",Gionee,"₦ 39,990"
"UMIDIGI A7S Infrared Temperature Sensor 6.53-Inch (2GB,32GB ROM)Android 10 GO (13MP+8MP+2MP)+8MP 4150mAh Smartphone-Granite Grey",UMIDIGI,"₦ 33,400"
"Tecno POP4 , 6"" Screen 32GB ROM + 2GB RAM, 8MP/5MP Camera, Android Q (Go Edition), 5000mah - Ice Lake Green",Tecno,"₦ 36,450"
"Lava Z50 PRO - 5.0"" -1GB RAM 8GB ROM - 5MP Rear + 2MP Selfie Camera -Dual SIM -2500mAh  - Gold",Lava,"₦ 14,000"
"UMIDIGI A7S Infrared Temperature Sensor 6.53-Inch (2GB,32GB ROM)Android 10 GO (13MP+8MP+2MP)+8MP 4150mAh Smartphone-Sky Blue",UMIDIGI,"₦ 33,400"
Luxury Black Full Metal Digital Lava Wrist Watch- Unisex,Luxury,"₦ 1,950"
"Infinix Smart 5 (X657) 6.6"" HD+ Waterdrop, 32GB ROM +2GB RAM, 8MP + 8MP Camera, 5000mAh Battery, 3G - Midnight Black",Infinix,"₦ 42,500"
Geneva New LED Backlight Sport Waterproof Quartz Wrist Watch.,Geneva,"₦ 1,400"
"Itel A36 5.5"" HD+ Screen, 1GB RAM + 16GB ROM, Android 9 Pie, 3020mAh Battery, 5MP + 5MP Camera, Fingerprint + Face ID - Blue",Itel,"₦ 24,490"
Luxury Unisex Full Metal Digital Lava Wrist Watch - Silver,Luxury,"₦ 1,950"
"Itel A56 5.99"" IPS Screen, Android 9 Pie, 16GB ROM + 1GB RAM, 8MP + 5MP Camera, 4000mAh Battery, Fingerprint & Face ID - Blue",Itel,"₦ 28,490"
Geneva LED Luminous WristWatch - Black,Geneva,"₦ 1,499"
"Gionee S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Gold",Gionee,"₦ 39,990"
Silicone LED Digital Sports Electronic Wristwatch - Unisex,Silicone,"₦ 1,950"
"UMIDIGI BISON IP68/IP69K (6GB,128GB) 6.3-Inch Gorilla Glass (48MP+16MP+5MP+5MP)+24MP NFC Android 10 Rugged Smartphone-Orange",UMIDIGI,"₦ 72,900"
Fngeen Men's Luxury Band Waterproof Quartz Watch - Gold,Fngeen,"₦ 3,700"
"Samsung Galaxy A51 6.5'' (6GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Black",Samsung,"₦ 118,430"
Geneva 2 Pieces Of Couple Luminous Led Wrist Watch,Geneva,"₦ 2,800"
"Cubot Note 7, 5.5 Inches,4G LTE,2GB + 16GB,3100mAh  (Dual SIM),Triple Camera -Black",Cubot,"₦ 31,200"
Skmei Men's Analog Digital Multifunctional Sport Dual Time Watch,Skmei,"₦ 4,050"
"UMIDIGI A9 Pro Infrared Temperature Sensor (48MP+16MP+5MP+5MP) +24MP 6.3-Inch (6GB,128GB ROM) Android 10 Smartphone-Onyx Black",UMIDIGI,"₦ 69,500"
Fngeen Blue Double Calendar Business Waterproof Quartz Men's Watch - Silver & Gold,Fngeen,"₦ 3,900"
LOGY 6.6 Inch HD Water Drop Screen Face Recognition  Smart Phone- White,LOGY,"₦ 31,300"
YUHUO Elegant Fashion Women Leather Rhinestone Wrist Watch-Gold,YUHUO,"₦ 2,200"
"Tecno POP4 (BC2) 6"" Big Screen, 2GB RAM + 32GB ROM, 5000mAh Battery, Android 10, 8MP + 5MP Camera, Fingerprint -IceLake Green",Tecno,"₦ 37,950"
Women's Mesh Magnet Buckle Quartz Wrist Watch- Rose Gold,Women's,"₦ 1,399"
"Nokia 105 (2019) Dual SIM, FM Radio, TORCH, 800mAh Battery - Blue",Nokia,"₦ 6,990"
Wlisth Men's Watches Waterproof Quartz Wristwatch Stainless Steel.,Wlisth,"₦ 3,600"
"Nokia 105 (2019) Dual SIM, FM Radio, TORCH, 800mAh Battery - Black",Nokia,"₦ 6,950"
Women's Rose Gold Watch,Women's,"₦ 2,999"
"UMIDIGI A7S Infrared Temperature Sensor 6.53"" (2GB,32GB ROM) Android 10 GO (13MP+8MP+2MP)+8MP 4150mAh Smartphone-Peacock Green",UMIDIGI,"₦ 33,400"
Geneva Waterproof Quartz Wrist Watch LED Back Light - Black,Geneva,"₦ 1,200"
S&H Mate40 Pro+ 7.3 HD+ Drop Screen 4 Core High-end Smartphones(128GB Free TF Card)-Black,S&H,"₦ 46,895"
Geneva Men's Gold-Plated Fully Studded Watch,Geneva,"₦ 3,590"
"Infinix HOT 10 LITE(X657B)-6.6"" HD+ WATERDROP SCREEN-32GB ROM/2GB RAM-13MP TRIPLE CAMERA/8MP-5000MAH-4G LTE-QUETZAL CYAN ",Infinix,"₦ 49,850"
Fngeen Black Face Double Calendar Business Waterproof Quartz Watch,Fngeen,"₦ 3,980"
"Infinix NOTE 8i(X683)-6.78""HD+ INFINITY-O DISPLAY-64GB ROM/4GB ROM-8MP+48MP/2MP/2MP/AI LENS-5200MAH-OBSIDIAN BLACK",Infinix,"₦ 71,500"
Drilled Swan Watch Lady Quartz Watch,Drilled,"₦ 1,480"
Apple NEW Apple Iphone 5 1G RAM 16GB ROM IOS 3G 4.0 Inch 8MP ICloud WIFI GPS Phone,Apple,"₦ 20,400"
Men Luxury Stainless Steel Quartz Sport Silicone,Men,₦ 963
"Oukitel C21 4G  6.4” FHD Android 10, (4GB RAM 64GB ROM) 20MP AI Selfie 16MP Matrix Quad Camera 4000mAh Smartphone-BLACK",Oukitel,"₦ 52,280"
Curren Men's Faux Leather Quartz Watch,Curren,"₦ 1,998"
"QUBO P6-5.45""HD IPS Screen ,4500mAh Big Battery (1GB RAM+16GB ROM), 5MP + 8MP Camera, Fingerprint,Dual SIM 3G Smartphone",QUBO,"₦ 26,990"
Yuhas Bracelet Watch For Women- Brown,Yuhas,"₦ 1,999"
"Cubot Note 20, 6.5"", 3GB+64GB, (Dual SIM) Quad Camera 12MP Android 10 NFC -Green",Cubot,"₦ 46,000"
Skmei Sport Digital Chronograph Dual Display Alarm Watches,Skmei,"₦ 4,050"
"Samsung Galaxy A12 - 6.5"" 48MP Camera, 4/64GB Memory, 5000maH Battery, Fingerprint, 4G LTE - BLACK",Samsung,"₦ 70,990"
"DS Stone Iced Men""s Wristwatch Witch Hand Chain - SIlver",DS,"₦ 7,350"
"Tecno POP 3 (BB2) 5.7"" FW+ Screen16GB ROM + 1GB RAM,Android 8.1 Oreo, 8MP + 5MP Camera, 3500mAh, Fingerprint -Sandstone Black",Tecno,"₦ 30,500"
"Orlando Men's Watch, Stainless Steel Male Watches + LED Sports Watch",Orlando,"₦ 2,400"
"Itel A33 5.0"" Screen, Android 8.1, 16GB ROM + 1GB RAM, 2PCS 2200mAh Battery, Fingerprint, 5+2MP Camera 3G - Red + FREE CASE",Itel,"₦ 21,890"
Fngeen Blue Face Business Calendar Waterproof Men's Quartz Watch,Fngeen,"₦ 3,790"
"Tecno F1-5"" Big Screen -8gb Rom + 1gb Ram - 5mp + 2mp Camera - Android 8.1 Oreo - 2000mah Battery - Elegant Black",Tecno,"₦ 22,700"
Kanima Rhinestone Women Dress Wristwatch - Gold,Kanima,"₦ 2,500"
"Itel S16 6.5"" HD FullScreen, 16GB ROM + 1GB RAM, Android 10, 4000mAh, 8MP Triple Rear Camera, Face ID & Fingerprint - Blue",Itel,"₦ 33,990"
Led Digital Panel Design Wristwatch- Unisex,Led,"₦ 1,850"
"Infinix Hot 9 (X655C) 6.6"" HD+, 3GB RAM + 64GB ROM, Android 10, 16MP AI Quad Camera, 5000mAh, 4G, Fingerprint + Face ID - Cyan",Infinix,"₦ 59,990"
Women Gold Plated Wristwatch + Bracelet + Earring,Women,"₦ 4,500"
"Tecno Spark 4 (KC8) 6.52"" HD+ 2GB RAM + 32GB ROM, 13MP Triple AI Camera, Android 9, 4G, 4000mAh, Fingerprint & Face ID - Blue",Tecno,"₦ 47,490"
"Orlando Men's Wrist Watch, Luxury Stainless Quartz Male Watches",Orlando,"₦ 2,350"
"Itel A56 Pro 5.99"" Screen, Android 9, 32GB ROM + 2GB RAM, 8MP+5MP Camera, 4000mAh, Fingerprint & Face ID - Blue + Free Case",Itel,"₦ 33,750"
Geneva 1 Pair Of Couple Wrist Watches LED Backlight Sport,Geneva,"₦ 2,600"
"Itel P36 6.5"" HD+ Screen, 2GB RAM + 32GB ROM, Android 9 Pie, 5000mAh Battery, 8MP + 8MP Camera, Fingerprint + Face ID - Blue",Itel,"₦ 39,490"
Women Studded Watch With Love Bracelet Band- Gold,Women,"₦ 1,900"
LOGY 6.6 Inch HD Water Drop Screen Face Recognition  Smart Phone- Dark Green,LOGY,"₦ 31,300"
Curren Leather Strap Cool Fashion Watch,Curren,"₦ 5,995"
"Itel P36 6.5"" HD+ Screen, 1GB RAM + 16GB ROM, Android 9 Pie, 5000mAh Battery, 8MP + 8MP Camera, Fingerprint + Face ID - Blue",Itel,"₦ 35,990"
Unique Men’s Luxury Watch Stainless Steel Formal Quartz Wristwatch,Unique,"₦ 2,100"
"Nuu Mobile A4L+, 16GB, 4G LTE Dual SIM, Android 7.0 Smartphone, 5MP Camera",Nuu,"₦ 15,999"
KQRAS Men's Watches Waterproof Wristwatches LED Back Light - Black,KQRAS,₦ 990
"Nokia C1 5.45"" 1GB 16GB Android 9.0 Pie 5+5 Mp 2500 MAh - Charcoal",Nokia,"₦ 27,300"
V8 Super Speed Big Men's Waterproof Military Watches- Black,V8,"₦ 2,480"
"UMIDIGI A9 Pro Infrared Temperature Sensor (48MP+16MP+5MP+5MP) +24MP 6.3-Inch (6GB,128GB ROM) Android 10 Smartphone-Forest Green",UMIDIGI,"₦ 69,500"
Fngeen Blue Face Double Calendar Business Waterproof Quartz Watch,Fngeen,"₦ 3,900"
Quartz Military Army LED Analog Stainless Steel Wrist Watch,Quartz,"₦ 5,950"
Fngeen Black Business Waterproof Double Calendar Quartz Men's Watch,Fngeen,"₦ 3,900"
Geneva Full Steel Unisex Wristwatch - Gold/ Blue,Geneva,"₦ 2,999"
2 In 1 Luxury Watch & Beads Bracelet Set,2,"₦ 4,500"
Skmei Luxury Mens Sports Watches Dive 50m Digital LED Military Watch Men Fashion Casual Electronics Wristwatches,Skmei,"₦ 2,398"
